contextID,citationID,CLEAN_CITATION_CONTEXT,UTILIZE_LABELS,USAGE_LABELS
689579,738387,"ication task with a trial duration of 8 seconds by evaluation of adaptive auto-regressive models (aar). note that there are other bci systems which rely on stimulus response paradigms, e.g. p300, see for an overview. in 10 an approach called common spatial patterns (csp) was suggested for use in a bci context. this algorithm extracts event-related desynchronization (erd) effects, i.e., event-re",NOTUTILIZE,MENTION
32496329,32861095,"odel social interactions as graphs over nodes representing individuals. to model dynamic interactions, we use the model of 37 which follows and slightly extends the approach of berger-wolf and saia and that of affiliation networks 38, section 8 . let i 1, 2, . . . , n denote the set of individuals and t 1, 2, . . . , t denote the set of discrete time steps. let h h1, h2, . . . , ht",UTILIZE,EXTEND
7064275,7388463,"convenience. given a term, possibly not typable, we are interested in the problem of determining if it can be well typed modulo insertion of appropriate coercions. such a typing algorithm is given in in the context of simply typed -calculus with recursive types. a weaker rule is: (app ) gamma f : (x : u)v gamma t : t c t;u : tsu gamma (f (c t;u t)) : v x (c t;u t) the solution we wil",NOTUTILIZE,MENTION
84017279,81212439,"s expressions for a functional programming language. the resulting animations exhibit a high level of abstraction and are therefore similar to algorithm animations. another example is the srec system that automatically generates visualizations and animations of recursive methods in java. srec provides multiple views of recursion, including recursion trees, which are typical visualizations in many",NOTUTILIZE,MENTION
14043110,15064547,"the maxmiso combination is performed with an heuristic of linear complexity. additionally, the proposed algorithms do not impose any limitations on the number of input output values (as in 2 , 10 , , 5 ) or the number of newly added instructions. iii. theoretical background a. miso properties and maxmiso-clustering let g (v, e) be the dataflow graph of a given application, where v is the set",NOTUTILIZE,NOTALGO
166168964,147760199,"is one of the most exploited examples. 1 it has three branches, which are characteristic for all other solutions. much later the pf solution for the parabolic branch was found 5 , 6 . it was shown that the other two branches lead to the emden-fowler equation 8 and some exact solutions were proposed 9 . solutions which obey an equation of state have constant pressure and density, which is eq",NOTUTILIZE,NOTALGO
201918081,239550261,"range of possible options for the weka bayesian network classifier training through our program, we set as the default training algorithm the k2-hillclimber and the bayesian metric for local scoring . for a user defined network topology the first step is skipped and only the conditional probability tables are computed. once the network is trained, we score a node v in the spectrum graph by lookin",UTILIZE,USE
28866839,29548221,"mation available in the image series. finally, our derivation of the equations governing the optimization of the alignment parameters, although equivalent to the previous derivation of penczek et al. , is much more compact and provides further insight in the nature of the multivariate optimization. this fact facilitates the algorithmic implementation of the optimization procedure. figure 4 slice o",NOTUTILIZE,NOTALGO
57503431,56799981,g work: we are currently designing a prototype system based on the proposed architecture. we intend to adapt the architectural description language 17 and the componentbased development methodology in our implementation work. the implementation of algorithm cs will be tested with a large data set of services and examine all composition scenarios. to improve the effectiveness of this approach we,UTILIZE,USE
8903310,9396367,"mpare the variability of two samples drawn from different populations. our hypothesis is that the two populations have the same variance, i.e. oe 2 1 oe 2 2 . we use an algorithm presented by allen to check for inequalities of the variances of cycle times. again let x i1 ; x i2 ; : : : ; x in be samples drawn from two populations connected with system i, i 1; 2. let s 2 i be the sample varian",UTILIZE,USE
28893753,29575548,"hese methods, we refer the reader to 16 . the orderly generation method (also called the read-farad zev scheme) has widely been used in enumerations and classifications of combinatorial objects (see ). algorithms based on this scheme are called orderly algorithms. in this section we present an orderly algorithm for the classification of 2-(v, 3, ) designs. in the construction phase, we will use",NOTUTILIZE,MENTION
12168775,13030094,"tion set a and taxes classifiers that appear in the set a m a, that is, classifiers that are in the match set but not in the action set. it is thus an on-policy reinforcement learning algorithm . the procedure used by zcs for reinforcing a classifier cl that has strength str in single-step problems is: str (1 )str rwd a str (1 )str cl a cl a (6.1) (6.2) in equation",NOTUTILIZE,MENTION
31515854,32110856,"t to field a runway incursion prevention system has generated scores of papers culminating in a successful flight test in october 2000 11 . this project combined surveillance, data links, algorithms to generate a system that could detect aircraft by several means, ascertain whether an incursion was imminent or in progress and show that information to the pilot. the displays and symbology designe",UTILIZE,USE
12063882,12916305,"inserting c statements into production rules. another example is rete , a forward and backward chaining inference engine based on the famous rete pattern-matching algorithm for production systems ( ), developed as a fully encapsulated extension to c (haley enterprise, 1996). cafe rete, from the same manufacturer, is a java class library that seamlessly integrates a rules engine within java app",NOTUTILIZE,MENTION
61469089,60779665,"21, 65 and are directly related to the algorithms presented in this paper, whereas the second category contains algorithms that find subgraphs that occur frequently across a database of small graphs . between these two classes of algorithms, those developed for the latter problem are in general more mature as they have moderate computational requirements and scale to large datasets. in the rest o",NOTUTILIZE,MENTION
60233433,59629951,"ear systems having a backward pentadiagonal coefficient matrices. this kind of linear system arise in many fields of numerical computation 1, 2 . this article is a general case of the author article . the main goal of the current paper is to develop an efficient algorithms for solving a general backward pentadiagonal linear systems of the form: ax y (1.1) where a 0 0 0 1 a1 d1",NOTUTILIZE,MENTION
