contextID,citationID,CLEAN_CITATION_CONTEXT,UTILIZE_LABELS,USAGE_LABELS
5652175,5850021,". the same reference is the source of all our initial speci cations for all the candidate dct algorithms except arai and vetterli. these two algorithms are coded starting from the original references . all algorithms simulated correctly, except pr2. in this algorithm we had to exchange a pair of coefcients and introduce two statement modi cations in order to achieve proper simulation 11 . recentl",NOTUTILIZE,MENTION
202955674,241046674,"olumn and so on. it should also be noted that u is defined such that utu i where i is the identity matrix. using this method, the covariance structures were estimated using the following algorithm ( ). 26 0) find ti w w where w vec 13 (utvec(xpi )) and vec 1m (y) makes a matrix of m columns and k rows from the mk",UTILIZE,USE
7149007,7475354,"eek algorithms that are quiescent, i.e., algorithms that eventually stop sending messages. we first tackle the problem of reliable communication for partitionable networks by extending the results of . in particular, we generalize the specification of the heartbeat failure detector hb, show how to implement it, and show how to use it to achieve quiescent reliable communication. we then turn our at",NOTUTILIZE,NOTALGO
38024176,36695486,"ncompressibility constraint to ensure second-order accuracy in time (see 23 ). in addition, an incremental pressure-correction procedure is implemented (with 1 1 or 0), see guermond and quartapelle ). this incremental algorithm (hyfv) proves to be superior in attainment of uniform temporal error bounds over non-incremental alternatives and influences the time-stepping procedure accordingly. to i",NOTUTILIZE,MENTION
21990153,23072267,"pper bounds a number of heuristic construction methods should do better than strip, but there are no reliable calculations to this effect. the only improvements over the bhh results are due to smith , who generalized the strip algorithm by optimizing the shape of the strips, leading to an upper bound which is 2 times greater than the predictions of (15) and (16) at large d. in spite of our inab",NOTUTILIZE,MENTION
13325840,14297488,"r clustering protein segments 3.6 experiments and results the algorithm presented in section 3.5 has been applied to clustering a set of 396 non-redundant proteins selected by cuff and barton (cb396) . segment length l was set to 8, a value small enough to allow clusters of reasonable size but large enough to capture local residue interactions. results reported by bystroff et al. 3 have shown th",NOTUTILIZE,MENTION
2936095,3065026,"dure o(2 2n 3 ) times gives a constant probability of error (for any predened constant). this algorithm can be derandomized by enumerating 2 2n 3 assignments and a polynomial number of permutations ( , see also dhiv01 for a simpler construction). paturi, pudlak, saks and zane ppsz98 give an extension of this algorithm. the new algorithm includes a preprocessing step: it adds some resolvents t",NOTUTILIZE,MENTION
203001569,241111604,"r. the first item candi 1 ( a 1 i ) is the largest candidate produced from sum i . we first produce n samples of cand1 1 ...candn 1 and let them be elements of a list sample. sample a 1 1 , a 1 . . . , a 1 n we then select the k-th largest value kthsample by a linear time selection algorithm 20 . it is easily observed that if sample i , the largest element in the i-th column, is smaller",UTILIZE,USE
24339410,25226816,"omputation of eigenvalues and eigenvectors of a matrix, whose size is dependent on the number of images. this use of only a subset for training is validated by the recent experimental observations in a training set containing 2048 images produces a similar performance compared to a training set containing 4096 and 8192 images; this was for the pca-based baseline algorithm. out of the 12,776 still",NOTUTILIZE,NOTALGO
82321184,79814344,by augmenting the upward planar representation to a planar st-digraph and omitting the augmenting arcs in the final drawing. visibility representations: we use the algorithm by rosenstiehl and tarjan for computing a visibility representation on the grid. this algorithm is based on bipolar orientations implied by an st-numbering. by augmenting the upward planar representation to an st-planar digra,UTILIZE,USE
11142789,11895448,should be able to guarantee that unlabeled data will at worst result in no significant performance degradation and at best improve performance over the use of the labeled data sets alone. yan et al. proposed a more effective algorithm called semi-supervised cross feature learning(scfl) for concept detection. unlike co-training which updates each classifier by incorporating the selected unlabeled,NOTUTILIZE,MENTION
57267112,56588418,"tem domain. other policies, e.g., greedy dual size (gds), have been explicitly designed for web environments. many generalizations of both traditional and web specific policies have been proposed. in , the lru algorithm is generalized such as to take into account access costs and expiration times. a generalization of the gds algorithm that incorporates short term temporal locality and long term po",NOTUTILIZE,MENTION
1421729,1507514,"er approach 4 - 6 . in this investigation we are going to extend a recent modern thomasfermi approach of myers and swiatecki 7 - 10 to the equation of state at finite temperatures (see also ref. ). furthermore we will briefly discuss the question of neutron star matter and the equation of state for higher asymmetries, respectively. the paper is organized as follows: first, we recapitulate for",NOTUTILIZE,NOTALGO
77602847,75773869,"onditions, we have to adaptively update the thresholds of (s, v ) for different test images. this can be done by finding the mode of the probability distribution p(si,vi) using the camshift algorithm . since the camshift algorithm is derived from the meanshift 11 , it is necessary to introduce the meanshift prior to the camshift. the meanshift is a non-parametric technique that climbs the gradien",UTILIZE,USE
201928799,239567165,"ation is available for download1. for this study, 132 2-min long data segments were randomly selected. a expert independently annotated each beat in the ppg using the capnobase signal evaluation tool . the expert also labeled the beginning and end of all visual artifacts in the ppg waveforms. the algorithm was compared to the algorithm presented by 6 (csl reference algorithm). two pulse oximetry",UTILIZE,USE
26697354,27389735,"is in appendix a. therefore, problem (2) is convex (and in general strictly convex). with such a nice property, we decide to use a simple newton s method with backtracking line search (algorithm 6.2, , and section 10.5, nash and sofer, 1996). though the trust-region type method mentioned in the end of section 2.1 may be more robust, the implementation is more complicated. for this two-variable opt",UTILIZE,USE
8193247,8614170,", not the parallel algorithm running on one processor. in some cases the serial code uses completely different data structures and algorithms from those used by the parallel code. source level tuning was done for the serial programs, including loop invariant motion and converting array number of processors 2 4 6 8 10 12 speedup 2 4 6 8 10 12 14 0 saxpy 4000 16000 64000 number of processors 2 4 6",NOTUTILIZE,NOTALGO
152783636,134301636,"l (stdev 3.5, min 9, max 21) and 12 on edison (stdev 2, min 7, max 15). this performance is significantly better than the reported speedup (5.5x on a 32-core intel multiprocessor) of the pr algorithm . in numa machines, scaling is more uniform within a single socket than across sockets. by using an efficient queue implementation (discussed earlier), we achieve excellent speedups on multiple socket",NOTUTILIZE,MENTION
6931593,7246242,"scales are complete for large classes of images 53 120 115 . however, recently counterexamples have been found to the most general statement of the problem 28 by meyer, as described by mallat in . in spite of this result, a number of algorithms have been proposed to invert the edge detection process that work very well in practice 69 34 . 29 chapter 3 parametric feature detection 3.1 intro",NOTUTILIZE,MENTION
202765542,240771965,dangerously close to zero (dii 10 6) a stronger regularization term is applied rdi 10 4. 6 implementation and numerical results the matrix-free interior point method has been implemented in hopdm . we use an infeasible primal-dual path following algorithm in which the newton search directions are computed from the regularized system (19). for linear and separable quadratic problems we reduce t,UTILIZE,USE
6961557,7278261,"be a great simplification, if programming of parallel aspects were application-oriented instead of machine-oriented. our approach to facilitate parallel programming is based on algorithmic skeletons as described in the next section. the main feature of a skeleton is to cover the low-level implementation of communication between processors by providing reusable functions that can be instantiated",NOTUTILIZE,MENTION
7471273,7818084,"n. our analysis retains this information, in part because we anticipate further thread interaction analyses (for example, extensions of existing pointer analysis algorithms for multithreaded programs ) that will use this information. 10 conclusion this paper presents a new combined pointer and escape analysis algorithm for object-oriented programs. the algorithm is designed to analyze arbitrary pa",NOTUTILIZE,NOTALGO
83463236,80734086,"m significant artifacts where the scene is not frontal-parallel. the occlusion handling algorithm proposed in this work is related to a line of stereo work that based on segmentation or plane fitting . these approaches typically worked by first solving depth in reliable regions, dividing the reliable regions into color segments, fitting planes to the segments, and assigning the rest unreliable pix",UTILIZE,EXTEND
74909902,73512238,"roduced the transmission-line model described in problems 12.1 and 12.2. for a discussion of other models that take into account the effects of distributed resistance, capacitance and inductance, see and 372 . systolic algorithms, which make good use of area and time, were popularized by kung 177 and others (see, for example, 104,122,179,180,181,190 ). the h-tree featured in section 12.5.1 is d",NOTUTILIZE,MENTION
18829660,20023781,"it then makes an adjustment in the ls direction of t 1 ls , setting t 1 t t( t 1 t) t , using some positive stepsize t . a detailed derivation of lstd( ) is presented in bb99 and , and convergence with probability one is proven in nb03 . the complexity of each step of lstd( ) is o(k 3 ). an efficient implementation of o(k 2 ) complexity per step, named rls-td( ), is derived i",NOTUTILIZE,NOTALGO
12570159,13471044,"tion and and are one. as a result, whenever local static cache is available, the algorithm always makes use of it to the fullest. iv. simulation we use simulations conducted in ns-2 version 2.1b2 to evaluate the effectiveness of the various techniques for streaming media. helpers can be configured to perform proxy caching, hierarchical caching, or dynamic cooperative caching, using any combin",UTILIZE,USE
39281393,37853727,"r space. in the second stage, we apply the estimated geometric transformation h on the nonblurred image n to obtain the aligned image patch h -1 (n). the blur kernel estimation algorithm described in is then used to determine the blur kernel k, which will be applied to the transformed image h -1 (n) to make the non-blurred image close to the blurred image in the next iteration. example results ar",UTILIZE,USE
65640452,64415007,"m (m1,m2, ,ml) that maximizes (m), for given n, l, pn (n),and (r). various algorithms have been proposed in the literature to find approximate or exact solutions. the approximation algorithms of assume the convexity of the rate-fidelity function, but cannot guarantee the global optimality of the solution even under this assumption. among the globally optimal algorithms, the most efficient ar",NOTUTILIZE,MENTION
55819528,55233532,"al 27 . hydroxyapatite (ha) has ca : p ratio of 1.67 and may be considered as stoichiometric cap. cap occurs naturally in the body as the mineral component of bone and enamel in a form resembling ha . -tricalcium phosphate ( -tcp) is a more quickly resorbed form of cap. ha is resorbed over a period of decades, while -tcp resorbs in months 29 . the adsorption of particles on the surface of cap",NOTUTILIZE,NOTALGO
69203954,68010048,"a also discussed how to do symbolic bisimulation checking with integer-time labelled transition systems 16 . beyer has implemented a refinement-checking algorithm for tas with integer-time semantics . in comparison, our algorithm is for dense-time semantics. lin and wang presented a complete and sound proof system for the equivalence of tas with dense-time semantics 15 . usually, the proofs may",NOTUTILIZE,MENTION
21222562,22374608,"oud contamination. the method has been extensively validated (fraser et al., 2004; fraser li, 2002). after the avhrr data were geocoded and composited, the modified active fire detection algorithm ( , 2000a) was first applied to detect hotspots from daily avhrr data throughout the 1989 2000 fire seasons. the hotspots and ndvi maximum values obtained for the same month but in two consecutive years",NOTUTILIZE,MENTION
53947992,53492273,"taset). to perform the classifier training, we considered three machine learning approaches. these were artificial neural networks (ann) 37 , na ve bayes (nb) 38 , and support vector machines (svm) . svm is considered to be one of the algorithms, which achieve excellent performance. ann is an earlier learning method with competitive performance compared to newer ones and nb is a simple method wi",NOTUTILIZE,MENTION
20430493,21651474,nation condition. the testing procedure for termination takes into consideration the possibility that the snapshot may not be consistent. examples of algorithms based on this approach can be found in . termination detection algorithms can also be classified based on two other attributes: (1) whether the distributed computation starts from a single process or from multiple processes: diffusing comp,NOTUTILIZE,MENTION
21625900,22740379,"he bounds in theorems 1.3 and 1.4 have motivated recent work on designing polynomial time algorithms for computing topological invariants of semi-algebraic sets defined by quadratic inequalities (see ). traditionally an important goal in algorithmic semi-algebraic geometry has been to design algorithms for computing topological invariants of semi-algebraic sets, whose worst-case complexity matches",NOTUTILIZE,MENTION
16749630,17891893,"affect both the expected solution and the rate of convergence of the algorithm. historic remarks our algorithm is a variant of a celebrated walk on spheres algorithm, first proposed by m. muller in . the exponential rate of convergence of the process xt to the boundary was established for convex domains by m. motoo in 15 and was later generalized for a wider class of planarsand 3-dimensional d",UTILIZE,EXTEND
7816217,8189327,"ing mrr 53 and introduced for solving problems in the area of combinatorial optimisation skv83 . we present one version of the sa algorithm in pccp (table 5,) which follows the general schema of . prove( ). prove( true---moregoals ) :- prove( moregoals ). prove( tell(constr)---moregoals ) :- call( constr ), prove( moregoals ). prove( guardedgoals---moregoals ) :- islist( guardedgoals",NOTUTILIZE,NOTALGO
202137012,239874539,"abstraction from its implementation so the two can vary independently. 4.2 code stability and simplicity of use in order to simplify the use of the library, we used the design pattern known as facade . the main advantage is to offer a simple view to most of the clients, therefore requiring only those who wish to use new algorithms to look beyond the facade. the class implementing this design patte",UTILIZE,USE
28397919,29114055,"5 : 120 cities; 18 : 532 cities; 6 : 666 cities; 1 : 13.509 cities), no methods of xsp tasks have yet been considered to our knowledge. by extending the available implementation of a tsp solver , we have developed a new xsp solver. pederson has used genetic algorithms (ga) to solve the traveling salesman problem. a simple introduction in the theory of ga can be found in 13 . adapted to mt",NOTUTILIZE,MENTION
38305648,36965695,"hallchoose 1and 2sothat (4) trace r( 1 ) trace 1 (fg, s) and (5) trace r( 2 ) trace 2 (fg, s). write hin g(a)as h hph p fwith h in g(r), hpin g(qp),and h p f 1 and 2 willhavetheform 1 (h) (h ) 1 p(hp, s)fg(h p f ) and (7) 2 (h) (h ) 2 p (hp, s)fg(h p f ). in g(ap f ).thefunctions thefunction isofcoursetobeinfinitelydifferentiable,withcompactsupportmodulo z o (r),",NOTUTILIZE,NOTALGO
32652332,32997869,"ng left-room events occured. 3.4.3 temporal aspects of events our event definition language is primarily based on sql, which allows us to borrow (and extend) the probabilistic data model described in . our language also includes powerful constructs for predicates on event ordering, which we borrow from 6, 39 . we describe two such constructs. the first is seq(i1, i2, ...). this is a predicate sta",UTILIZE,EXTEND
202606962,240541515,"tal number of chromosomes including the new ones and existing ones is f np(1 pcr pmu). of these f chromosomes, np ones shall be selected to form p(t 1). this research uses the rank-space method to select chromosomes. the basic idea of the method is described below, while its detail algorithm is described in 14 . the rank space method selects chromosomes based on two criteria: solution qual",UTILIZE,USE
84493667,81608606,"v r and a such that x av t r subject to the constraints (3) for a. this scaling procedure can be achieved using the bayesian algorithm presented in 14 for unsupervised su assuming the lmm (see for details). once the final abundance matrix and the matrix v r have been estimated, we propose an endmember extraction procedure based on gp regression. this method is discussed in the next sec",NOTUTILIZE,MENTION
85061165,82093306,"ameters of the observation nodes were initialised usingloy et al.: modelling multi-object activity by gaussian processes 9 the k-means clustering results and estimated using the baum-welch algorithm . the loglikelihood of observation computed using the model was employed as a measure of abnormality at each interval. through exhaustive testing, a four-state ergodic hmm with random initialisation o",UTILIZE,USE
14628808,15688175,"e induction and data processing. the most commonly used approaches are induction of certain and approximate decision rules by generating exhaustive, minimal or satisfactory set of decision rules (see ). such algorithms for decision rule induction were extensively investigated and are implemented in many software systems (see, e.g., 6, 17 ). there were proposed also methods for decision rule induc",NOTUTILIZE,MENTION
15209629,16298837,"n c h (opt k) 3 the k-lca algorithm gain c h (k1 kp) gain c h (k1) gain c h (kp) 0 in this section we present the loss-contracting algorithm (k-lca) by robins and zelikovsky . the algorithm maintains the current solution represented as a terminal-spanning tree in t , which is initialized to the minimum spanning tree of the terminals. one may view the algorithm as follows:",NOTUTILIZE,MENTION
13633681,14628458,"han as an operator that recombines building blocks 16 . more generally, it is not clear how to formulate a bbh that is valid for an arbitrary ea operating on an arbitrary representation of solutions . 2 research program this paper presents a research program to extend the rr papers 19, 7, 20 in testing the validity of the bbh, focusing specifically on the simple genetic algorithm (sga) 9 . the",NOTUTILIZE,MENTION
13798134,14805465,"ates the bloat. 3 experimental parameters we measure the performance impact of no-copy superpage promotion and instruction issue width for the two online promotion algorithms proposed by romer et al. . in this section we describe the impulse memory controller, compare our processor models to romer s, and review romer s promotion policies.s the",NOTUTILIZE,MENTION
61076681,60429408,"package (10). the known structure of the ap (3) served as model in a molecular replacement search performed with the program amore (26). refinement of the structure was done by using the program cns , applying an overall anisotropic temperature factor correction algorithm, followed by manual fitting. a summary of the refinement statistics can be found in table 1. due to poor or missing electron d",UTILIZE,USE
1366825,1452082,contrast is an important factor in the subjective quality of radiographic images. a comprehensive survey of algorithms for contrast enhancement is presented in 15 . histogram modification techniques have been attractive due to their simplicity and speed. a transformation function is first derived from a desired histogram and the histogram of an input image. the transformation function is usually,NOTUTILIZE,MENTION
11281413,12051870,"involving linear matrix inequalities can be solved efficiently using interior-point algorithms. numerical experiments shows that these algorithms solve lmi problems with a polynomial-time complexity ( ). these algorithm is also known as the projective method and the first implementation, as a piece of commercial software, is the lmi control toolbox for use with matlab",NOTUTILIZE,MENTION
19186935,20386595,"a longest repeating factor, and delved in the analysis of the accuracy and time complexity of the algorithm. an interesting fact is that we can also use compact directed acyclic word graphs (cdawgs) that are smaller than suffix trees. note that, though proposition 4 relies on ukkonen s suffix tree construction algorithm, the online algorithm of 10 could the same role for cdawgs. however, the o",NOTUTILIZE,MENTION
73628016,72491861,"astructure. 13 identifies a common threephase structure of three popular distributed sensor-localization algorithms, namely robust positioning 4 , ad-hoc positioning 18 and n-hop multilateration . table i illustrates the structure of these algorithms. in the first phase, nodes share information to collectively determine the distances from each of the nodes to a number of anchors. anchors are",NOTUTILIZE,MENTION
75057158,73636925,"mentz-walter developed an algorithm combining the ideas of the aho corasick and boyer moore algorithms 6,7 . a complete version can be found in 1 . later, uratani 15 , and baeza-yates and r gnier developed similar algorithms. the 0020-0190 99 see front matter 1999 elsevier science b.v. all rights reserved. pii: s0020-0190(99)00092-7108 m. crochemore et al. information processing lett",NOTUTILIZE,MENTION
58851406,58132241,"nce of either a schema or ids and idrefs. once the interconnection graph was defined in this context, our mechanisms for creating tuples of meaningfully related nodes could be used. this work extends . generating relations from semistructured data has been considered in the context of wrapper generation and inferring schemas from documents 4,6,9 . in 10 , relations are created from semistructure",UTILIZE,EXTEND
171712246,152781683,ients were alive at 1 year in the arm that received the experimental therapy compared to 9 in the standard treatment arm. the planned total patient sample could not be reached due to low recruitment . 5. conclusion thyroid cancers are one of the greatest challenges for those treating advanced tumors. thyroid cancer offers extensive opportunities to work in interdisciplinary teams that include not,NOTUTILIZE,NOTALGO
1939299,2055345,"al patterns with a user-specied minimum support, where the support of a sequential pattern is the percentage of data-sequences that contain the pattern. apriori-based algorithms, such as aprioriall (a ) and gsp (srikand and agrawal, 1996), were proposed to mine patterns with some minimum supports in a level-wise manner. to further improve the performance, a projection-based algorithm called freespa",NOTUTILIZE,MENTION
57664503,56946343,"largest improvements are achieved on models with several queues and many classes which are infeasible in mom. our idea consists in integrating the recursive equation used in the convolution algorithm within the mom approach. mom jointly considers in a linear system of equations the exact recursive formulas for normalizing constants used in recal 12 and lbanc 9 , but not those used inconvoluti",UTILIZE,USE
12718998,13633293,"ch communication session. it is not sufficient to obtain a dsrc simply by calling random() without carefully initializing the state. one could use an algorithm like the one defined in appendix a.6 in to create a dsrc. depending on the choice of algorithm, there is a finite probability that two dsrcs from two different rdss may be the same. to further reduce the probability that two rdss pick the",NOTUTILIZE,MENTION
84255756,81403516,"a each, and we reorder edges (x, y, wxy) in each subsequence by end vertex y. this can be done in o((n a log n) s) passes by using a w-stream variant of the sorting algorithm described in . the preprocessing can thus be performed within the same asymptotic number of passes as shortdist. notice that the number of groups i in each reordered subsequence cannot be larger than n. hence, t",NOTUTILIZE,MENTION
28268975,28977186,"s 1; :::; to a convolutional decoder and subsequent crc check. the data is decoded up to times, until the crc check is successful. tur74 , an algorithm for nding m-phase barker sequences is given in . in practice, however, one can choose the sync word from a subset of the modulation symbols, for instance use a binary sync word in a qpsk modulation. in section 9.5, we shall use the approximate uni",NOTUTILIZE,MENTION
202779607,240791618,"e continuous properties of sequences. in order to derive a finite feature range, the continuous ranges are discretized using the entropy-based, supervized discretization algorithm by fayyad and irani . this procedure finds a partition of the continuous range which best separates the different classes. the second possibility is to input user-given feature vectors for each data sample in c4.5 format",UTILIZE,USE
3084357,3197415,"ximation of the optimal solution of the original problem (2.1). this approach, known as a stochastic counterpart method or a sample-path optimization, has been discussed and analyzed, for example, in . of course, an implementation of that idea requires specification of a particular algorithm which is used for solving the approximating problem (2.6). notice that g( delta) is a piecewise linear, non",NOTUTILIZE,MENTION
17516691,18690492,"complexity in 25 depends on n (and hence, cannot be time-optimal). in addition, that algorithm of 25 requires a bound on the time that it takes to travel over a path of n nodes in the network. in and 1 , spanning tree algorithms for ad hoc networks with larger than o(diam) stabilization times are given. for an additional survey one can refer to 21 . finally, we note that the algorithm prese",NOTUTILIZE,MENTION
1211968,1291034,"butions). this error estimator is especially useful to estimate roughly how many samples are needed for a given tolerable error variance. ipca algorithms have been studied by several researchers 15 9 10 . an early work with a rigorous proof for convergence was given by oja karhunen 9 10 , where they introduced their stochastic gradient ascent (sga) algorithm. sga computes, vi(n) vi(n",NOTUTILIZE,NOTALGO
34927271,34815737,"compute a l and a r we can take the fractional solution to (lp1) and turn it into a basic, and therefore integral, solution without increasing its cost. alternatively, we can run kolen s algorithm for matrices in greedy standard form. this finishes the proof of theorem 4.1. 4.1. partial covering in this section we focus on the partial version of the one-sided guarding problem. theorem 4.3. the",NOTUTILIZE,MENTION
10017654,10634044,"n be implemented using a stack to carry out substitutions (see figures 6 and 7). this new formulation also makes it simpler to prove that the cps and the ds transformations are inverses of each other and to automate this proof. the implementation in elf is small but non-trivial. it captures the computational content of the translations and the meta-theoretic reasoning in a declarative, yet execut",NOTUTILIZE,NOTALGO
40262066,38799008,"erent incarnations of policy evaluation and policy improvement, and is the prototype and template for many rl algorithms, including many policy search methods where a policy is explicitly represented . 3.2 value iteration one of the main drawbacks of policy iteration is the long policy evaluation step that must be performed during each iteration of the algorithm. the policy evaluation step itself",NOTUTILIZE,MENTION
10724797,11423694,"trust network, or social network (figure 1), and a graph walking algorithm be used to predict the importance of a certain node of the network. this intuition is exploited, for example, by pagerank , one of the algorithm powering the search engine google.com. according to this analysis, the web is a network of content without a centralized quality control and pagerank tries to infer the authorit",NOTUTILIZE,MENTION
77541226,75719153,"specularity, etc. however, the real-time sfm algorithm satisfying above all requirements has not been well discussed for multi-camera systems. motion estimation algorithms for multi-camera system in , and 9 were designed to obtain differential motion estimates or for a twoview framework. recently, an approach acquiring the camera motion parameter by using a multi-camera system for long term ima",NOTUTILIZE,MENTION
222193507,190045483,"y concluded that the detected clones were either very volatile or hard to remove. the evolution of the linux kernel has also been studied by livieri and colleagues who used metrics on the clone ratio . examining 136 versions of the kernel they found that the amount of clones was proportional to the system size, whereas most clones were caused by one particular subsystem. aversano and colleagues ex",NOTUTILIZE,NOTALGO
39415682,37969435,"s the value of f at any given set s n . given access to a value oracle for a submodular function, it is possible to minimize it in polynomial time 3 , and indeed, even in strongly polynomial time . the current fastest strongly polynomial algorithm are those of orlin 12 and iwata-orlin 8 , which takes time o(n 5 eo n 6 ), where eo is the time taken to run the value oracle. the fastest weakl",NOTUTILIZE,MENTION
202790139,240806942,"ffect of variable air gap and mouldscoatings, convective and radiation heat transfer andsimproving the efficiency of computation 9 . feedersoptimization has been performed using topologysoptimization , poison equation approximation 11 andsgenetic algorithm 12 .sp. prabhakara rao gives advantages of computerssimulation based design enumerated. the procedures thussdescribed have been demonstrated",UTILIZE,USE
13730529,14731888,"curately predicted. these algorithms should be replaced with more distributed versions, instead. 6. related work research has been done on automatic parallelization 1 13 and speculation 4 17 18 26 at various universities. however, this research primarily focuses on developing methods to automatically parallelize applications. we instead investigate two other areas. first, we use manual par",NOTUTILIZE,MENTION
4299210,4443750,on has to be provided via a series of messages passed between nodes that are interested in a certain resource. several algorithms to solve mutual exclusion for distributed systems have been developed . they can be distinguished by their approaches as token-based and non-token-based. the former ones may be based on broadcast protocols or they may use logical structures with point-to-point communica,NOTUTILIZE,MENTION
